# brilcalc lumi --normtag /cvmfs/cms-bril.cern.ch/cms-lumi-pog/Normtags/normtag_PHYSICS.json -u /fb --begin 378981 --end 386951 -b "STABLE BEAMS" > lumi_2024.txt
#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 382298:9812  | 06/21/24 19:39:13 | 152  | 146  | 0.058006248    | 0.030753524   |
| 382299:9812  | 06/21/24 20:38:11 | 817  | 808  | 0.395531164    | 0.361651597   |
| 382300:9812  | 06/22/24 01:55:26 | 1193 | 1193 | 0.390841362    | 0.378424329   |
| 382313:9813  | 06/22/24 11:50:28 | 401  | 391  | 0.183436581    | 0.169709802   |
| 382314:9813  | 06/22/24 14:26:01 | 300  | 300  | 0.144959971    | 0.137427509   |
| 382328:9816  | 06/22/24 22:37:33 | 101  | 92   | 0.039133691    | 0.031701178   |
| 382329:9816  | 06/22/24 23:16:38 | 158  | 157  | 0.073287529    | 0.068951998   |
| 382343:9819  | 06/23/24 13:00:53 | 2217 | 2209 | 1.006583250    | 0.945754854   |
| 382344:9819  | 06/24/24 03:22:08 | 370  | 370  | 0.135633818    | 0.128920528   |
| 382504:9832  | 06/27/24 14:21:22 | 371  | 371  | 0.164693541    | 0.154602804   |
| 382568:9838  | 06/28/24 23:54:53 | 407  | 407  | 0.183860877    | 0.173219978   |
| 382580:9840  | 06/29/24 07:43:04 | 1724 | 1724 | 0.732826385    | 0.698162059   |
